MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SalePrice
160,RM,3363,Reg,Lvl,Inside,Edwards,Norm,TwnhsE,2Story,7,5,2004,2004,Stone,117,TA,Gd,TA,No,Unf,0,Unf,0,976,976,Y,976,732,0,1708,0,0,2,0,3,1,Gd,7,Maj1,0,Detchd,2004,Unf,2,380,TA,Y,0,40,0,0,0,0,4,2006,130000
20,RL,8500,Reg,Lvl,FR2,CollgCr,Norm,1Fam,1Story,7,5,2004,2004,BrkFace,106,TA,Gd,TA,Av,Unf,0,Unf,0,1422,1422,Y,1422,0,0,1422,0,0,2,0,3,1,Gd,7,Typ,0,Attchd,2004,RFn,2,626,TA,Y,192,60,0,0,0,0,11,2007,179600
50,RL,9084,Reg,Lvl,Inside,Edwards,Artery,1Fam,1.5Fin,5,6,1941,1950,None,0,TA,TA,Fa,Mn,LwQ,236,Rec,380,0,616,N,616,495,0,1111,0,1,1,0,3,1,TA,5,Typ,0,Detchd,1941,Unf,1,200,Fa,Y,48,0,0,0,0,0,3,2008,95000
50,RL,9600,IR1,HLS,Inside,Crawfor,Norm,1Fam,1.5Fin,5,7,1940,1950,None,0,Gd,TA,Fa,No,Rec,428,Unf,0,300,728,Y,976,332,0,1308,1,0,1,1,2,1,TA,7,Min2,2,Detchd,1940,Unf,1,256,TA,Y,0,70,0,0,0,0,6,2009,160000
80,RL,21453,IR1,Low,CulDSac,ClearCr,Norm,1Fam,SLvl,6,5,1969,1969,None,0,TA,TA,TA,Gd,ALQ,938,Unf,0,0,938,Y,988,0,0,988,1,0,1,0,1,1,TA,4,Typ,2,Attchd,1969,Unf,2,540,TA,Y,0,130,0,130,0,0,10,2006,180000
20,RM,7407,Reg,Lvl,Inside,OldTown,Artery,1Fam,1Story,6,7,1957,1996,None,0,TA,TA,TA,No,GLQ,600,Unf,0,312,912,Y,1236,0,0,1236,1,0,1,0,2,1,TA,6,Typ,0,Attchd,1957,Unf,2,923,TA,Y,0,158,158,0,0,0,4,2010,149700
190,RL,34650,Reg,Bnk,Inside,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,None,0,TA,TA,TA,Mn,Rec,1056,Unf,0,0,1056,N,1056,0,0,1056,1,0,1,0,3,1,TA,5,Typ,0,Attchd,1955,Fin,2,572,TA,Y,264,0,0,0,0,0,1,2006,145000
60,FV,7399,IR1,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,5,1997,1998,BrkFace,1600,TA,Gd,TA,No,BLQ,649,Unf,0,326,975,Y,975,975,0,1950,0,0,2,1,3,1,Gd,7,Typ,1,Detchd,1997,RFn,2,576,TA,Y,0,10,0,0,198,0,6,2007,239000
120,RL,6240,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,BrkFace,176,TA,Gd,TA,No,GLQ,863,Unf,0,461,1324,Y,1324,0,0,1324,1,0,2,0,2,1,Gd,6,Typ,1,Attchd,2006,Fin,2,550,TA,Y,192,38,0,0,0,0,12,2009,254000
20,RM,6000,Reg,Lvl,Corner,OldTown,Norm,1Fam,1Story,4,7,1954,2000,None,0,TA,TA,TA,No,Unf,0,Unf,0,901,901,Y,901,0,0,901,0,0,1,0,2,1,TA,4,Typ,0,Detchd,1954,Unf,1,281,TA,Y,0,0,0,0,0,0,8,2008,107900
20,RL,10859,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,None,0,TA,Gd,TA,No,Unf,0,Unf,0,1097,1097,Y,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,Attchd,1995,Unf,2,672,TA,Y,392,64,0,0,0,0,6,2009,145000
20,RL,7332,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,6,1959,1959,BrkFace,207,TA,TA,TA,No,BLQ,414,Unf,0,450,864,Y,864,0,0,864,1,0,1,0,2,1,Gd,4,Typ,0,Attchd,1959,Unf,1,288,TA,Y,168,0,0,0,0,0,10,2006,120000
20,RL,14587,IR1,Lvl,Inside,Somerst,Norm,1Fam,1Story,9,5,2008,2008,Stone,284,TA,Gd,TA,No,Unf,0,Unf,0,1498,1498,Y,1506,0,0,1506,0,0,2,0,2,1,Ex,6,Typ,1,Attchd,2008,Fin,2,592,TA,Y,0,174,0,0,0,0,8,2008,264132
70,RL,10570,Reg,Bnk,Inside,Crawfor,Norm,1Fam,2Story,8,8,1932,1994,None,0,TA,Gd,Gd,No,Rec,297,Unf,0,556,853,Y,1549,1178,0,2727,0,0,2,1,3,1,Gd,10,Maj1,2,Detchd,1932,Unf,2,440,TA,Y,0,74,0,0,0,0,12,2007,315000
20,FV,11096,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2006,2006,None,0,TA,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Y,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,Attchd,2006,RFn,3,826,TA,Y,0,146,0,0,0,0,7,2007,249700
60,RL,14215,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,BrkFace,380,TA,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Y,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,BuiltIn,2005,RFn,3,853,TA,Y,240,154,0,0,0,0,11,2006,325300
120,RL,5063,Reg,Lvl,Inside,NridgHt,Norm,Twnhs,1Story,7,5,2007,2008,Stone,166,TA,Gd,TA,No,GLQ,904,Unf,0,410,1314,Y,1314,0,0,1314,1,0,2,0,2,1,Gd,6,Typ,1,Attchd,2008,RFn,2,626,TA,Y,172,62,0,0,0,0,4,2009,207500
20,RL,8724,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,None,0,TA,Gd,TA,No,BLQ,492,Unf,0,402,894,Y,894,0,0,894,0,0,1,0,3,1,TA,5,Typ,1,Attchd,1968,Fin,2,450,TA,Y,0,0,0,0,0,0,5,2007,129000
50,RL,14115,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,None,0,TA,Gd,TA,No,GLQ,732,Unf,0,64,796,Y,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,Attchd,1993,Unf,2,480,TA,Y,40,30,0,320,0,0,10,2009,143000
20,RL,11029,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,8,1958,2002,None,0,TA,Gd,TA,No,ALQ,528,BLQ,411,245,1184,Y,1414,0,0,1414,1,0,1,0,3,1,TA,6,Min1,1,Attchd,1990,Unf,2,601,TA,Y,0,51,0,0,190,0,5,2008,176500
30,RM,8967,Reg,Lvl,Corner,IDOTRR,Norm,1Fam,1Story,5,2,1920,1950,None,0,Fa,Fa,Po,No,Unf,0,Unf,0,961,961,Y,1077,0,0,1077,0,0,1,0,2,1,TA,6,Maj2,0,Detchd,1920,Unf,1,338,Po,N,0,0,0,0,0,0,11,2007,67000
50,RL,9786,IR1,Bnk,Inside,NAmes,Norm,1Fam,1.5Fin,6,7,1962,1981,None,0,TA,TA,TA,No,Rec,600,Unf,0,312,912,Y,1085,649,0,1734,0,0,1,1,3,1,Gd,7,Typ,1,Attchd,1962,RFn,2,440,TA,Y,0,0,0,0,128,0,6,2006,159000
160,RM,2665,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,None,0,TA,TA,TA,No,ALQ,548,Rec,173,36,757,Y,925,550,0,1475,0,0,2,0,4,1,TA,6,Typ,1,Attchd,1977,RFn,1,336,TA,Y,104,26,0,0,0,0,7,2006,127000
20,RL,8125,Reg,Lvl,Inside,SawyerW,Norm,1Fam,1Story,6,5,1994,1998,BrkFace,258,TA,Gd,TA,No,GLQ,1138,Unf,0,270,1408,Y,1679,0,0,1679,1,0,2,0,3,1,Gd,7,Typ,1,Attchd,1994,RFn,2,575,TA,Y,224,42,0,0,0,0,10,2008,193500
30,C (all),18000,Reg,Low,Inside,IDOTRR,Norm,1Fam,1Story,3,4,1935,1950,None,0,TA,TA,TA,No,Unf,0,Unf,0,894,894,Y,894,0,0,894,0,0,1,0,2,1,TA,6,Typ,0,Detchd,1994,RFn,3,1248,TA,Y,0,20,0,0,0,0,8,2008,81000
20,RL,9000,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1956,1956,BrkFace,74,TA,Gd,TA,No,LwQ,616,Unf,0,580,1196,Y,1196,0,0,1196,1,0,1,0,2,1,TA,6,Typ,1,Attchd,1956,RFn,1,297,TA,Y,0,44,0,0,0,0,5,2008,139000
60,RL,40094,IR1,Bnk,Inside,Edwards,PosN,1Fam,2Story,10,5,2007,2008,Stone,762,TA,Ex,TA,Gd,GLQ,2260,Unf,0,878,3138,Y,3138,1538,0,4676,1,0,3,1,3,1,Ex,11,Typ,1,BuiltIn,2007,Fin,3,884,TA,Y,208,406,0,0,0,0,10,2007,184750
20,RL,11478,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Stone,200,TA,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Y,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Attchd,2008,RFn,3,772,TA,Y,0,50,0,0,0,0,5,2010,306000
60,RL,9505,IR1,Lvl,CulDSac,Gilbert,Norm,1Fam,2Story,7,5,2001,2001,BrkFace,180,TA,Gd,TA,No,Unf,0,Unf,0,884,884,Y,884,1151,0,2035,0,0,2,1,3,1,Gd,8,Typ,1,BuiltIn,2001,Fin,2,434,TA,Y,144,48,0,0,0,0,5,2010,222500
50,RL,8737,IR1,Bnk,Inside,BrkSide,Norm,1Fam,1.5Fin,6,7,1923,1950,None,0,TA,Gd,TA,No,Rec,300,Unf,0,765,1065,Y,915,720,0,1635,0,0,1,1,3,1,TA,6,Typ,1,Detchd,1950,Unf,2,440,TA,Y,0,38,0,144,0,0,5,2007,210000
60,RL,11250,Reg,Lvl,Corner,CollgCr,Norm,1Fam,2Story,8,5,2002,2002,None,0,TA,Gd,TA,Mn,Unf,0,Unf,0,1128,1128,Y,1149,1141,0,2290,0,0,2,1,4,1,Gd,9,Typ,1,Attchd,2002,Unf,2,779,TA,Y,0,0,0,0,0,0,5,2008,255900
20,RL,13300,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1956,2000,None,0,TA,Gd,TA,No,Rec,377,Unf,0,551,928,Y,928,0,0,928,0,0,1,0,2,1,TA,4,Typ,0,Attchd,1956,Unf,1,252,TA,Y,261,0,156,0,0,0,6,2007,132000
80,RL,7200,Reg,Lvl,Inside,Edwards,Norm,1Fam,SLvl,6,6,1976,1976,BrkFace,255,TA,TA,TA,Av,ALQ,631,Unf,0,410,1041,Y,1125,0,0,1125,1,0,1,0,3,1,TA,6,Typ,1,Detchd,1977,Unf,1,352,TA,Y,296,0,0,0,0,0,10,2009,125000
50,RL,15660,IR1,Lvl,Corner,Crawfor,Norm,1Fam,1.5Fin,7,9,1939,2006,BrkFace,312,Gd,TA,TA,No,BLQ,341,Unf,0,457,798,Y,1137,817,0,1954,0,1,1,1,3,1,Gd,8,Typ,2,Attchd,1939,Unf,2,431,TA,Y,0,119,150,0,0,0,5,2008,311500
20,RL,11175,IR1,Lvl,Corner,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,None,0,TA,Gd,TA,Av,Unf,0,Unf,0,1316,1316,Y,1316,0,0,1316,0,0,2,0,3,1,Gd,6,Typ,1,Attchd,2007,Fin,2,440,TA,Y,0,20,0,0,0,0,10,2007,200141
60,RL,26178,IR1,Lvl,Inside,Timber,Norm,1Fam,2Story,7,5,1989,1990,BrkFace,293,TA,Gd,TA,Gd,GLQ,965,Unf,0,245,1210,Y,1238,1281,0,2519,1,0,2,1,4,1,Gd,9,Typ,2,Attchd,1989,RFn,2,628,TA,Y,320,27,0,0,0,0,4,2006,335000
30,RL,8731,IR1,Lvl,Inside,BrkSide,Norm,1Fam,1Story,5,5,1920,1950,None,0,Fa,TA,TA,No,BLQ,645,Unf,0,270,915,Y,1167,0,0,1167,0,0,1,0,3,1,TA,6,Maj1,1,Detchd,1972,Unf,2,495,TA,Y,0,0,216,0,126,0,5,2007,144000
20,RL,7800,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1964,1964,None,0,TA,TA,TA,No,Rec,312,LwQ,600,0,912,Y,912,0,0,912,0,0,1,0,2,1,TA,5,Typ,0,Attchd,1964,Unf,1,288,TA,Y,0,0,0,0,0,0,11,2006,115000
60,RL,12244,Reg,Lvl,Inside,Timber,Norm,1Fam,2Story,8,5,2003,2003,Stone,226,TA,Gd,TA,Gd,GLQ,871,Unf,0,611,1482,Y,1482,780,0,2262,1,0,2,1,4,1,Gd,10,Typ,2,Attchd,2003,Fin,3,749,TA,Y,168,0,0,0,0,0,8,2008,305000
50,RH,4500,IR2,Bnk,Inside,SWISU,Norm,1Fam,1.5Fin,5,5,1932,2000,None,0,TA,TA,TA,No,Rec,182,Unf,0,611,793,Y,848,672,0,1520,0,0,1,0,3,1,TA,6,Typ,0,Detchd,1968,Unf,1,281,TA,Y,0,0,56,0,0,0,7,2009,159434
60,RL,13005,IR1,Lvl,Corner,NWAmes,Norm,1Fam,2Story,7,7,1980,1980,BrkFace,278,TA,Gd,TA,No,GLQ,692,Unf,0,153,845,Y,1153,1200,0,2353,1,0,2,1,4,1,Ex,10,Typ,1,Attchd,1983,RFn,2,484,TA,Y,288,195,0,0,0,0,8,2009,260000
60,RL,8633,Reg,Lvl,FR2,CollgCr,Norm,1Fam,2Story,6,5,2005,2005,None,0,TA,Gd,TA,No,GLQ,193,Unf,0,545,738,Y,738,738,0,1476,1,0,2,1,3,1,Gd,7,Typ,0,Attchd,2005,Fin,2,540,TA,Y,100,35,0,0,0,0,2,2009,173500
70,RM,5100,Reg,Lvl,Inside,OldTown,Norm,1Fam,2Story,8,7,1925,1996,None,0,Gd,TA,TA,No,Unf,0,Unf,0,588,588,Y,833,833,0,1666,0,0,1,0,3,1,Gd,7,Typ,1,Detchd,1925,Unf,1,228,TA,Y,192,63,0,0,0,0,6,2008,161000
30,RM,5232,IR3,Bnk,Inside,OldTown,Artery,1Fam,1Story,5,5,1925,2004,None,0,TA,Fa,TA,No,Unf,0,Unf,0,680,680,N,764,0,0,764,0,0,1,0,2,1,TA,4,Typ,0,Detchd,1965,Unf,2,504,TA,N,0,0,0,0,0,0,6,2008,73000
20,RL,8000,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,6,1948,2002,None,0,Gd,TA,TA,No,ALQ,680,Unf,0,292,972,Y,972,0,0,972,1,0,1,0,2,1,TA,5,Typ,1,Detchd,1948,Unf,1,240,TA,Y,0,0,0,0,0,0,5,2009,132000
60,RL,8400,Reg,Lvl,Inside,NWAmes,Norm,1Fam,2Story,8,6,2001,2001,None,0,TA,Gd,TA,No,GLQ,643,Unf,0,167,810,Y,810,855,0,1665,1,0,2,1,3,1,Gd,6,Typ,0,Attchd,2001,Fin,2,528,TA,Y,0,45,0,0,0,0,11,2009,227000
20,RL,25286,Reg,HLS,Inside,Mitchel,Norm,1Fam,1Story,4,5,1963,1963,None,0,TA,TA,TA,Gd,ALQ,633,Unf,0,431,1064,Y,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,Attchd,1963,Unf,2,648,TA,Y,0,0,0,0,0,0,1,2007,132250
50,RL,9600,Reg,Lvl,Inside,NAmes,Norm,1Fam,1.5Fin,6,8,1950,2005,None,0,Gd,TA,TA,No,BLQ,120,Unf,0,736,856,Y,1112,556,0,1668,0,0,1,1,3,1,TA,6,Min2,0,Attchd,1950,Unf,1,271,TA,Y,0,0,0,0,0,0,9,2009,140000
80,RL,13400,Reg,Lvl,Inside,NAmes,Norm,1Fam,SLvl,5,5,1966,1966,BrkFace,1047,TA,TA,TA,Av,ALQ,516,BLQ,128,380,1024,Y,1086,0,0,1086,1,0,1,0,3,1,TA,6,Typ,1,Attchd,1966,RFn,2,484,TA,Y,0,0,0,0,0,0,6,2006,159950
70,RL,10918,Reg,Lvl,Inside,Crawfor,Norm,1Fam,2Story,7,9,1926,2004,None,0,TA,Gd,TA,No,Unf,0,Unf,0,1276,1276,Y,1276,804,0,2080,0,0,1,1,3,1,Gd,9,Typ,2,Detchd,1926,Unf,1,282,TA,Y,0,0,0,0,145,0,6,2009,234000
60,RL,9950,IR1,Lvl,Inside,NoRidge,Norm,1Fam,2Story,7,5,1995,1995,BrkFace,290,TA,Gd,TA,No,GLQ,565,Unf,0,638,1203,Y,1214,1306,0,2520,0,0,2,1,4,1,Gd,9,Typ,1,Attchd,1995,RFn,3,721,TA,Y,224,114,0,0,0,0,6,2007,290000
70,C (all),8500,Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,None,0,Fa,TA,TA,No,Unf,0,Unf,0,649,649,N,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,Detchd,1920,Unf,1,250,Fa,N,0,54,172,0,0,0,7,2008,40000
190,RL,10382,Reg,Lvl,Inside,NAmes,Norm,2fmCon,SLvl,6,5,1958,1958,BrkFace,105,Fa,TA,TA,Gd,ALQ,513,Unf,0,75,588,Y,1095,0,0,1095,1,0,1,0,2,1,TA,6,Typ,0,Attchd,1958,RFn,1,264,TA,Y,0,0,0,0,0,0,3,2006,140000
60,RL,13693,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,5,2006,2006,BrkFace,772,TA,Gd,TA,Av,Unf,0,Unf,0,2153,2153,Y,2069,574,0,2643,0,0,2,1,3,1,Ex,9,Typ,1,BuiltIn,2006,Fin,3,694,TA,Y,414,84,0,0,0,0,3,2007,380000
20,RL,9750,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,6,1958,1958,BrkFace,243,TA,TA,TA,No,Rec,608,Unf,0,834,1442,Y,1442,0,0,1442,0,0,1,1,4,1,TA,7,Typ,0,Attchd,1958,RFn,1,301,TA,Y,0,0,275,0,0,0,4,2007,157900
60,RL,10186,IR1,Lvl,Inside,NoRidge,Norm,1Fam,2Story,7,5,1992,1992,None,0,TA,Gd,TA,No,GLQ,674,Unf,0,76,750,Y,1061,862,0,1923,1,0,2,1,3,1,Gd,8,Typ,1,Attchd,1992,RFn,2,564,TA,Y,240,39,0,0,0,0,6,2010,190000
70,RM,10800,Reg,Bnk,Inside,OldTown,Norm,1Fam,2Story,7,8,1890,1998,None,0,Gd,TA,TA,No,Unf,0,Unf,0,718,718,Y,1576,978,0,2554,0,0,1,1,3,1,TA,8,Typ,0,Detchd,1996,Unf,2,704,TA,P,0,48,143,0,0,0,7,2007,159500
30,RM,5784,Reg,Lvl,Inside,OldTown,Artery,1Fam,1Story,5,8,1938,1996,None,0,TA,Fa,TA,No,Unf,0,Unf,0,190,190,Y,886,0,0,886,0,0,1,0,2,1,TA,4,Typ,0,Attchd,1938,Unf,1,273,TA,Y,144,20,80,0,0,0,12,2009,91300
120,RM,4426,Reg,Lvl,Inside,CollgCr,Norm,TwnhsE,1Story,6,5,2004,2004,BrkFace,169,TA,Gd,TA,Av,GLQ,662,Unf,0,186,848,Y,848,0,0,848,1,0,1,0,1,1,Gd,3,Typ,0,Attchd,2004,RFn,2,420,TA,Y,160,0,0,0,0,0,5,2010,143000
30,RM,6900,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1Story,5,6,1940,1955,None,0,TA,TA,TA,No,ALQ,403,Rec,125,212,740,Y,778,0,0,778,0,0,1,0,2,1,TA,4,Typ,1,Detchd,1966,Fin,1,924,Ex,Y,0,25,0,0,0,0,2,2008,120500
190,RL,10880,Reg,Lvl,Inside,Edwards,Norm,2fmCon,1Story,5,5,1950,1950,None,0,TA,TA,TA,No,ALQ,1040,Unf,0,124,1164,N,1164,0,0,1164,1,0,1,0,3,1,TA,5,Typ,0,Detchd,1950,Unf,1,240,TA,Y,0,48,0,0,0,0,8,2008,125000
60,RL,9531,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,2Story,6,5,1998,1998,None,0,TA,Gd,TA,Mn,GLQ,706,Unf,0,88,794,Y,882,914,0,1796,1,0,2,1,3,1,TA,7,Typ,0,Attchd,1998,RFn,2,546,TA,Y,0,36,0,0,0,0,5,2007,211000
