t,re78,age,educ,married,black,hispanic,nodegree,re74,u74,re75,u75
1,0,28,11,0,1,0,1,1.929,0,6.8719001,0
1,10.0928,22,12,1,0,1,0,.49219999,0,7.0556998,0
1,6.2814002,33,11,0,1,0,1,0,1,7.8678999,0
1,12.5907,22,12,0,0,0,0,6.7600002,0,8.4554996,0
1,5.112,29,10,0,0,1,1,0,1,8.8536997,0
1,15.9526,33,12,1,1,0,0,20.2799,0,10.9413,0
1,36.6469,25,14,1,1,0,0,35.0401,0,11.5366,0
1,12.804,35,9,1,1,0,1,13.6024,0,13.8306,0
1,3.7866001,35,8,1,1,0,1,13.7321,0,17.9762,0
1,4.1819,33,11,1,1,0,1,14.6607,0,25.1422,0
0,25.564699,45,11,1,0,0,1,21.516701,0,25.2435,0
0,13.4961,21,14,0,0,0,0,3.1760001,0,5.8526001,0
0,25.564699,38,12,1,0,0,0,23.039,0,25.1308,0
0,25.564699,48,6,1,0,0,1,24.9944,0,25.2435,0
0,9.8608999,18,8,1,0,0,1,1.6693,0,10.7276,0
0,25.564699,22,11,1,0,0,1,16.365801,0,18.449301,0
0,18.059299,48,10,1,0,0,1,16.8046,0,16.354601,0
0,15.7393,18,11,0,0,0,1,1.1442,0,3.6199999,0
0,25.564699,48,9,1,0,0,1,25.862301,0,25.2435,0
0,3.9247999,45,12,1,0,0,0,25.862301,0,0,1
0,25.564699,34,14,1,0,0,0,25.862301,0,23.746799,0
0,6.8477998,16,10,0,0,0,1,1.0267,0,1.2246,0
0,25.564699,53,10,1,0,0,1,25.862301,0,25.2435,0
0,8.7777004,19,12,0,0,0,0,.86799997,0,4.3863001,0
0,19.214899,27,12,1,0,0,0,25.862301,0,19.047199,0
0,9.1795998,32,10,1,0,0,1,20.427299,0,23.374399,0
0,25.564699,27,12,1,0,0,0,20.983801,0,14.8221,0
0,0,46,7,1,0,0,1,19.1714,0,1.3177,0
0,23.9037,24,13,0,0,0,0,20.8309,0,25.2435,0
0,6.5567002,22,13,0,0,0,0,11.0366,0,10.3516,0
0,0,49,10,1,0,0,1,.3919,0,0,1
0,4.7553,17,10,0,0,0,1,0,1,0,1
0,20.9231,29,14,1,0,0,0,21.499001,0,22.5867,0
0,10.2672,28,16,1,0,0,0,16.5009,0,0,1
0,19.339001,46,12,1,0,0,0,24.8141,0,24.9678,0
0,4.7537999,26,17,1,1,0,0,0,1,0,1
0,25.564699,49,12,0,0,0,0,25.862301,0,25.2435,0
0,25.564699,51,10,1,0,0,1,25.862301,0,25.2435,0
0,10.3485,51,10,1,0,0,1,22.923401,0,21.725599,0
0,18.490801,27,11,1,0,0,1,17.0221,0,18.1234,0
0,0,23,13,0,0,0,0,19.0989,0,21.014799,0
0,13.106,27,10,1,0,0,1,7.9527001,0,9.7554998,0
0,25.564699,38,10,1,0,0,1,25.862301,0,25.2435,0
0,8.4141998,32,8,0,0,0,1,7.1866002,0,6.1497998,0
0,25.564699,34,14,1,0,0,0,25.862301,0,25.2435,0
0,25.564699,26,18,1,0,0,0,20.972,0,21.883101,0
0,6.7532001,21,13,0,0,0,0,8.6384001,0,8.1764002,0
0,16.461901,39,8,0,0,1,1,13.4993,0,16.3832,0
0,0,17,8,0,1,0,1,0,1,.45120001,0
0,14.4389,22,11,1,0,1,1,17.4669,0,17.779699,0
0,0,21,12,0,0,1,0,0,1,0,1
0,12.6346,44,9,1,0,1,1,15.39,0,14.8865,0
0,13.5182,26,10,1,0,1,1,17.1259,0,17.446699,0
0,13.7414,54,4,1,0,1,1,13.3504,0,13.1804,0
0,19.9419,42,12,1,0,1,0,21.663601,0,22.0138,0
0,6.171,25,12,0,0,0,0,8.1055002,0,11.8698,0
0,0,20,13,0,0,0,0,.31740001,0,.2148,0
0,25.564699,44,11,1,0,0,1,25.862301,0,25.2435,0
0,25.564699,33,12,1,0,0,0,25.862301,0,25.2435,0
0,25.564699,40,12,1,0,0,0,25.862301,0,14.4945,0
0,23.5742,25,16,1,0,0,0,21.048401,0,22.9161,0
0,11.2647,33,12,0,0,0,0,12.6941,0,13.0461,0
0,18.437599,52,13,0,1,0,0,19.827801,0,19.668501,0
0,25.564699,54,14,1,0,0,0,24.6868,0,25.2435,0
0,18.2071,27,15,0,0,0,0,19.2008,0,19.303301,0
0,6.1487999,51,10,1,0,0,1,7.4882998,0,7.8881998,0
0,15.4688,42,12,1,0,0,0,6.5028,0,15.241,0
0,25.564699,50,10,1,0,0,1,25.862301,0,25.2435,0
0,9.0437002,47,10,1,0,0,1,15.2823,0,13.9645,0
0,20.0557,28,12,1,0,0,0,24.2244,0,11.0194,0
0,25.564699,33,12,1,0,0,0,25.862301,0,25.2435,0
0,22.254601,33,13,1,0,0,0,21.1464,0,18.732201,0
0,25.564699,55,16,1,0,0,0,25.862301,0,24.627701,0
0,25.564699,38,12,1,0,0,0,25.862301,0,25.2435,0
0,25.564699,39,16,1,0,0,0,25.862301,0,25.2435,0
0,25.564699,27,17,1,0,0,0,25.862301,0,25.2435,0
0,4.3060999,16,9,0,0,0,1,.37810001,0,.4673,0
0,0,35,12,1,0,0,0,6.6458001,0,3.3318,0
0,23.590401,35,12,1,0,0,0,22.421801,0,21.093599,0
0,0,45,12,1,0,0,0,25.862301,0,25.2435,0
0,20.267,51,11,1,0,0,1,18.270201,0,21.6378,0
0,5.5325999,27,16,0,0,0,0,11.3167,0,1.7617,0
0,18.719801,28,14,1,0,0,0,0,1,0,1
0,25.564699,35,18,1,0,0,0,25.862301,0,25.2435,0
0,21.4965,39,10,1,0,0,1,18.5347,0,0,1
0,25.564699,33,12,0,0,0,0,25.862301,0,25.2435,0
0,12.4292,52,16,1,0,0,0,25.862301,0,25.2418,0
0,13.9438,22,13,0,0,0,0,5.0236001,0,6.8193002,0
0,19.003599,25,12,1,0,0,0,20.0707,0,11.1179,0
0,0,28,16,1,0,0,0,25.014,0,22.710199,0
0,17.2953,27,16,1,0,0,0,16.888901,0,16.2006,0
0,8.5900002,30,13,0,0,0,0,8.3621998,0,7.9902,0
0,14.3487,28,15,0,0,0,0,9.6729002,0,8.0851002,0
0,22.261999,24,12,1,0,0,0,19.0833,0,18.270201,0
0,13.7148,29,11,0,1,0,1,14.7435,0,14.9546,0
0,15.9654,49,7,0,1,0,1,16.444099,0,16.028799,0
0,17.0515,22,12,1,0,0,0,13.3524,0,14.3584,0
0,25.564699,30,16,1,0,0,0,25.862301,0,25.2435,0
0,0,45,12,1,0,0,0,24.1852,0,25.2435,0
0,25.564699,44,12,1,0,0,0,24.6691,0,24.4182,0
0,25.564699,21,12,0,0,0,0,11.4656,0,1.9532,0
0,18.6504,26,13,1,0,0,0,11.6616,0,4.1427999,0
0,20.9867,25,16,1,0,0,0,18.822701,0,20.112499,0
0,17.010099,45,8,1,0,0,1,16.882999,0,15.3162,0
0,1.6935,19,9,0,0,0,1,3.3111999,0,10.5253,0
0,12.2016,55,9,1,0,0,1,12.6098,0,12.3497,0
0,17.483,22,12,1,0,0,0,12.4237,0,13.0353,0
0,25.564699,37,18,1,0,0,0,0,1,16.735901,0
0,25.2987,38,12,1,0,0,0,25.862301,0,25.2435,0
0,2.6392,29,13,1,0,0,0,17.962601,0,11.5905,0
0,1.3019,43,8,1,0,0,1,21.0445,0,25.2435,0
0,.0044,51,10,1,0,0,1,25.862301,0,19.817101,0
0,13.9039,25,14,1,0,0,0,11.7693,0,11.6246,0
0,10.3943,52,12,1,0,0,0,20.7761,0,20.808901,0
0,25.564699,26,14,1,0,0,0,22.8862,0,24.5238,0
0,25.564699,37,18,1,0,0,0,25.862301,0,25.2435,0
0,25.564699,36,12,1,0,0,0,25.862301,0,25.2435,0
0,21.2586,27,14,1,0,0,0,6.395,0,18.5137,0
0,25.564699,21,11,1,0,0,1,20.8172,0,25.2435,0
0,19.0819,44,12,1,0,0,0,22.6863,0,0,1
0,25.564699,49,17,1,0,0,0,25.862301,0,25.2435,0
0,7.2467999,32,0,0,0,0,1,4.5591998,0,3.9763,0
0,22.872299,23,12,1,0,0,0,16.593,0,17.6222,0
0,20.485701,46,12,1,0,0,0,18.636499,0,18.214701,0
0,19.808901,17,10,0,0,0,1,0,1,1.5361,0
0,22.5457,26,12,1,0,0,0,19.0676,0,24.849701,0
0,25.564699,27,12,1,0,0,0,19.637699,0,8.1781998,0
0,25.564699,30,15,1,0,0,0,23.8717,0,25.2435,0
0,25.5233,23,12,0,0,0,0,23.826599,0,24.942801,0
0,25.564699,22,12,1,0,0,0,13.5405,0,21.766701,0
0,25.564699,30,18,1,0,0,0,23.127199,0,23.580299,0
0,25.564699,32,14,1,0,0,0,20.145201,0,15.941,0
0,25.564699,27,14,0,0,0,0,15.5762,0,24.706499,0
0,12.602,18,12,0,0,0,0,4.7297001,0,3.3282001,0
0,25.564699,33,18,0,0,0,0,0,1,0,1
0,0,22,11,0,0,0,1,5.3253002,0,1.0617,0
0,3.2702,23,16,0,0,0,0,2.359,0,0,1
0,0,51,10,1,0,0,1,19.030399,0,17.5326,0
0,10.8908,21,15,0,0,0,0,2.4705999,0,5.1167002,0
0,7.9723001,18,12,0,0,0,0,9.0655003,0,9.3382998,0
0,0,53,10,1,0,0,1,0,1,0,1
0,0,21,12,0,0,0,0,4.0556998,0,1.8673,0
0,25.564699,32,16,1,0,0,0,22.5257,0,22.712,0
0,25.564699,41,12,1,0,0,0,25.862301,0,24.7458,0
0,25.564699,48,12,0,0,0,0,25.862301,0,25.2435,0
0,25.564699,25,18,0,0,0,0,2.3511,0,.2113,0
0,14.266,23,16,0,0,0,0,.91299999,0,8.6759005,0
0,0,30,12,1,0,0,0,0,1,0,1
0,0,22,12,1,0,0,0,1.8063999,0,7.1146998,0
0,2.1677999,44,10,1,0,0,1,5.9404998,0,2.7392001,0
0,7.9428,17,11,0,0,0,1,2.4470999,0,3.2672999,0
0,.59399998,23,12,0,0,0,0,.33109999,0,0,1
0,24.401699,47,8,1,0,0,1,25.168699,0,22.651199,0
0,0,54,12,1,0,0,0,0,1,0,1
0,19.1366,49,8,1,0,0,1,11.4088,0,3.7095001,0
0,25.564699,36,18,1,0,0,0,23.742399,0,25.2435,0
0,25.564699,33,14,1,0,0,0,24.9513,0,23.2778,0
0,22.5797,43,15,1,0,0,0,19.386999,0,25.207701,0
0,0,37,10,0,0,0,1,17.235701,0,18.397301,0
0,16.7131,48,12,0,0,0,0,16.5362,0,16.6052,0
0,0,54,12,0,0,0,0,0,1,0,1
0,.62660003,28,16,0,0,0,0,.092100002,0,0,1
0,15.3477,35,3,1,0,0,1,19.6201,0,20.3613,0
0,0,55,12,1,0,0,0,14.6965,0,3.1349001,0
0,10.1594,53,7,1,0,0,1,22.308201,0,21.5215,0
0,14.4226,25,12,1,0,0,0,19.8885,0,17.756399,0
0,22.9846,30,8,1,0,0,1,18.691401,0,15.5436,0
0,6.2241998,44,5,0,0,0,1,12.7646,0,9.4421997,0
0,25.564699,44,6,1,0,0,1,25.862301,0,15.2177,0
0,5.0212998,20,10,0,0,0,1,3.8146999,0,5.2349,0
0,12.6833,49,9,1,0,0,1,17.147499,0,12.7471,0
0,23.559401,55,8,1,0,0,1,5.6192002,0,5.4496999,0
0,25.564699,51,16,1,0,0,0,25.862301,0,25.2435,0
0,7.3266001,24,16,0,0,0,0,9.6925001,0,16.012699,0
0,22.1541,54,10,1,0,0,1,25.055099,0,25.2435,0
0,0,32,16,0,1,0,0,17.135799,0,1.0312001,0
0,11.6075,19,4,1,0,1,1,2.2981999,0,1.7867,0
0,0,36,18,0,0,0,0,0,1,0,1
0,0,55,10,1,0,0,1,0,1,0,1
0,17.4653,25,12,1,0,0,0,8.6795998,0,17.666901,0
0,22.8678,26,18,1,0,0,0,0,1,8.4145002,0
0,16.382099,19,13,0,0,0,0,5.0608001,0,5.1830001,0
0,23.2904,52,11,1,0,0,1,25.862301,0,25.2435,0
0,21.407801,19,12,0,0,0,0,4.3358998,0,4.6870999,0
0,14.9117,17,11,0,0,0,1,.043099999,0,0,1
0,11.8617,23,10,1,0,0,1,10.5957,0,1.4627,0
0,25.564699,44,12,1,0,0,0,25.862301,0,25.2435,0
0,9.3761997,28,12,1,0,0,0,13.0957,0,4.9986,0
0,9.4647999,49,8,1,0,0,1,17.9116,0,23.6842,0
0,8.4865999,54,10,1,0,0,1,14.5221,0,8.7385998,0
0,3.8952999,22,11,0,0,0,1,5.6564002,0,0,1
0,25.564699,33,13,1,0,0,0,25.862301,0,25.2435,0
0,22.680201,40,12,0,0,0,0,20.4685,0,6.2052999,0
0,24.5051,47,12,1,0,0,0,25.862301,0,20.522499,0
0,14.9989,21,12,0,0,0,0,9.7924004,0,2.1698999,0
0,1.3846,17,10,0,0,0,1,0,1,0,1
0,6.7059002,16,9,0,0,0,1,0,1,1.3463,0
0,13.0616,40,12,1,0,0,0,15.4351,0,12.9279,0
0,25.564699,36,12,1,0,0,0,25.241199,0,25.2435,0
0,25.564699,51,12,1,0,0,0,25.862301,0,25.2435,0
0,25.0977,46,9,1,0,0,1,25.062901,0,25.166599,0
0,18.5056,33,18,1,0,0,0,23.421101,0,25.2435,0
0,14.3236,28,13,1,0,0,0,24.771,0,21.3335,0
0,18.693199,27,11,1,0,0,1,14.2674,0,12.8295,0
0,21.944201,33,12,0,0,0,0,25.862301,0,25.2435,0
0,20.0158,26,12,1,0,0,0,16.8223,0,19.978201,0
0,16.470699,24,12,1,0,0,0,16.103201,0,8.9230003,0
0,23.4944,28,8,1,0,0,1,16.450001,0,18.300699,0
0,25.3785,36,12,1,0,0,0,23.9128,0,23.2742,0
0,23.426399,42,12,1,0,0,0,21.4736,0,22.060301,0
0,1.3994,16,10,0,0,0,1,0,1,0,1
0,0,53,14,1,0,0,0,22.995899,0,16.304501,0
0,20.247801,52,10,1,0,0,1,17.3297,0,16.193501,0
0,0,22,12,0,0,0,0,0,1,0,1
0,25.564699,55,14,1,0,0,0,25.862301,0,25.2435,0
0,10.7579,26,14,1,0,0,0,9.9275999,0,13.397,0
0,0,38,12,1,0,0,0,2.4001,0,0,1
0,18.7819,43,12,1,0,0,0,14.3281,0,3.4535,0
0,19.438,55,7,1,0,0,1,18.660101,0,16.7682,0
0,25.232201,49,10,1,0,0,1,24.0833,0,22.7586,0
0,18.666599,20,12,0,0,0,0,9.5789003,0,15.728,0
0,6.4784002,18,10,0,0,0,1,0,1,0,1
0,25.564699,31,16,1,0,0,0,25.862301,0,25.2435,0
0,25.564699,54,18,1,0,0,0,25.862301,0,25.2435,0
0,17.2894,28,12,1,0,0,0,20.6761,0,4.073,0
0,17.657301,24,12,1,0,0,0,18.979401,0,20.959299,0
0,9.3761997,21,8,0,0,0,1,18.4328,0,6.7782001,0
0,25.564699,39,8,1,0,0,1,24.163601,0,20.937799,0
0,25.564699,28,12,1,0,0,0,23.57,0,21.9261,0
0,23.653999,40,12,1,0,0,0,25.862301,0,25.2435,0
0,22.192499,38,7,1,0,0,1,22.3062,0,18.8664,0
0,9.9259005,16,10,0,0,0,1,0,1,.52100003,0
0,0,43,12,1,0,0,0,0,1,0,1
0,21.1537,49,12,1,0,0,0,24.812201,0,23.2026,0
0,20.002501,28,14,0,0,0,0,19.316401,0,18.626499,0
0,25.564699,22,12,0,0,0,0,15.3411,0,14.9044,0
0,9.8622999,39,12,1,0,0,0,7.4549999,0,8.5129995,0
0,12.5149,27,16,1,0,0,0,21.062099,0,24.8246,0
0,15.9373,21,12,0,0,0,0,15.6585,0,8.1155005,0
0,23.724899,48,11,1,0,0,1,25.862301,0,25.2435,0
0,25.564699,30,12,1,0,0,0,25.862301,0,25.2435,0
0,10.0264,20,12,1,0,0,0,11.5107,0,8.1854,0
0,13.8581,20,13,0,0,0,0,0,1,.63020003,0
0,0,18,12,0,0,0,0,.65829998,0,1.4323,0
0,8.8767004,23,12,0,0,1,0,5.8171,0,18.105499,0
0,12.6405,33,12,1,0,0,0,18.303499,0,13.875,0
0,25.564699,31,12,1,0,0,0,21.610701,0,21.5376,0
0,.73150003,28,12,0,1,0,0,4.7003002,0,0,1
0,0,30,14,0,0,0,0,0,1,0,1
0,.58219999,23,13,0,1,0,0,.1724,0,.2721,0
0,15.9595,38,12,1,0,0,0,10.3841,0,11.6371,0
0,18.148001,37,12,1,1,0,0,18.826599,0,21.5734,0
0,5.1276999,16,10,0,0,0,1,.65829998,0,.63020003,0
0,0,18,10,0,0,0,1,0,1,2.4742,0
0,23.9702,47,9,1,0,0,1,19.9786,0,19.202999,0
0,10.248,17,9,0,0,0,1,0,1,3.9923999,0
0,18.0504,35,12,1,1,0,0,17.2416,0,15.7172,0
0,8.1998997,19,7,0,0,1,1,1.25,0,0,1
0,10.9972,36,9,1,1,0,1,18.905001,0,18.938,0
0,0,41,8,1,0,0,1,0,1,0,1
0,0,54,12,1,0,0,0,0,1,0,1
0,25.564699,51,18,1,0,0,0,25.862301,0,25.2435,0
0,25.564699,55,15,1,0,0,0,25.862301,0,25.2435,0
0,8.8086996,29,16,1,0,0,0,1.6575,0,5.1293001,0
0,25.564699,46,16,1,0,0,0,25.862301,0,25.2435,0
0,25.564699,30,14,1,0,0,0,25.862301,0,25.2435,0
0,23.093901,28,14,1,1,0,0,23.039,0,22.576,0
0,21.8999,48,12,1,1,0,0,24.197001,0,22.1105,0
0,21.891001,26,11,0,1,0,1,20.834801,0,19.4447,0
0,23.5875,32,12,1,0,0,0,25.862301,0,25.2435,0
0,0,50,12,1,0,0,0,0,1,0,1
0,13.0129,20,11,0,0,0,1,11.207,0,12.4248,0
0,20.666,21,12,0,0,0,0,11.6478,0,14.8328,0
0,8.9624004,20,9,0,0,0,1,4.2986002,0,8.7975998,0
0,12.0331,32,4,0,0,1,1,14.8199,0,15.4576,0
0,0,46,12,1,0,0,0,0,1,0,1
0,2.7486,18,12,0,0,0,0,2.3608999,0,1.7527,0
